2025/01/23 04:16:36 FCS_263_InstaKYC_API Server Started in :28595 ...
2025/01/23 04:30:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:31:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:31:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:31:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:31:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:31:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:31:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:32:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:32:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:32:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:32:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:32:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:32:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:33:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:33:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:33:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:33:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:33:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:33:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:34:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:34:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:34:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:34:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:34:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:34:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:35:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:35:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:35:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:35:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:35:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:35:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:36:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:36:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:36:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:36:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:36:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:36:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:37:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:37:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:37:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:37:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:37:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:37:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:38:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:38:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:38:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:38:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:38:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:38:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:39:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:39:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:39:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:39:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:39:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:39:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
